#{"t_start": 1782899345.2538424, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,episode_risk_gate_rate,episode_continuous_risk_penalty,episode_event_risk_penalty,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,episode_rcpo_cost_lambda,curriculum_stage
19.50725,410,182.128769,0.0,1.0,104.5684765173493,19.507250182671996,0.0,0.0,0.0,1.0,0.49410039746657897,410,17.101338824160752,0.3886621733669969,1.070115976335801,0.5928191475570201,0.27861547862611163,0.22897941179391815,0.0,nan,0.0024390243902439024,0.0,47.5,0,0,0,0,0.0,0.0,0.0,0.0,47.5,1.0
-49.028312,133,184.859831,0.0,1.0,18.68717883409226,-49.02831221269224,0.0,0.0,0.0,1.0,0.14926994567538757,133,14.515943682339078,0.4064862719137152,1.126177984147643,0.7415787887976582,0.15138882353789823,0.14619720161409305,0.0,nan,0.007518796992481203,0.0,62.75,0,0,0,0,0.0,0.0,0.0,0.0,62.75,1.0
134.576509,556,188.856172,1.0,0.0,130.3592068586624,134.5765092676749,0.0,0.0,0.0,0.0,0.9832301946114548,556,14.190092602314088,0.5087109015289871,0.9994033064928639,0.6847098338947022,0.24242416453018462,0.2086250447540832,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,86.75,1.0
160.380339,710,195.387137,1.0,0.0,181.9917938982699,160.38033914425455,0.0,0.0,0.0,0.0,0.9861480731706572,710,16.977044936118098,0.48552065546105183,0.9923313405914236,0.6367802420867161,0.236959003310808,0.20808162303038047,0.0,28.217984105499905,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,96.75,2.0
-75.917854,256,197.708971,0.0,1.0,35.42395665616328,-75.91785352381778,0.0,0.0,0.0,1.0,0.16233893827001883,256,11.879913823515688,0.42256800617439094,1.065855901597451,0.6528957662230823,0.27879564999602735,0.23173192492686212,0.0,nan,0.00390625,0.0,98.25,0,0,0,0,0.0,0.0,0.0,0.0,98.25,2.0
225.203402,978,211.613977,1.0,0.0,311.34079329969387,225.20340180084824,0.0,0.0,0.0,0.0,0.9877668383667009,978,17.968349806119463,0.41580001667566946,1.0374548871790912,0.6652423088383577,0.22248050802080666,0.19922739157647443,0.0009861674200717417,3.9433574042895447,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,100.25,2.0
180.801567,1100,233.688436,0.0,0.0,303.8827140982499,180.80156704469482,0.0,0.0,0.0,0.0,0.9653403331856643,1100,16.838096521945914,0.40731045100713953,1.3247426595031142,0.6552430295266888,0.1965795968879353,0.17576708641919223,0.0,6.799174739924534,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,133.0,3.0
-83.784461,697,251.725369,0.0,1.0,174.6730943499226,-83.78446096380249,0.0,0.0,0.0,1.0,0.4409663953745409,697,18.33224443515371,0.4146668702379725,1.2699755074278678,0.671167629831063,0.20959690226030828,0.20281725198329778,0.0,8.965203652772303,0.0014347202295552368,0.0,184.25,0,0,0,0,0.0,0.0,0.0,0.0,184.25,3.0
-144.768074,360,260.244532,0.0,1.0,89.91668187463968,-144.76807395929822,0.0,0.0,0.0,1.0,0.34745283677939753,360,20.690103015639913,0.46793418102402384,1.6211512584127445,0.6614154324349429,0.21270057459672292,0.17372554904884763,0.006194661448867313,2.179859680680249,0.002777777777777778,0.0,200.0,0,0,0,0,0.0,0.0,0.0,0.0,200.0,2.0
-142.402897,314,266.333459,0.0,1.0,95.36804892895992,-142.40289689252194,0.0,0.0,0.0,1.0,0.33376928809993583,314,21.244033081102685,0.42500349865258213,1.0399846217281417,0.6356133091127038,0.14842965458608737,0.1377549273952557,0.0,7.279556185128127,0.0031847133757961785,0.0,200.0,0,0,0,0,0.0,0.0,0.0,0.0,200.0,2.0
